ID,Key,Name,Track Record,Expressed Capability,True Capability,Lapsed Capability,Potential Capability,No Capability,Longitude,Latitude
1,ABN,University of Aberdeen,0,1,0,1,0,0,-2.0991223,57.165019
2,ABR,Abertay University,1,1,1,0,0,0,-2.9741806,56.4632206
3,ABE,Aberystwyth University,0,0,0,0,0,1,-4.0656241,52.4176035
4,ARU,Anglia Ruskin,0,0,0,0,0,1,0.1350772,52.2034325
5,AST,Aston University,1,1,1,0,0,0,-1.890952,52.4866368
6,BAN,Bangor University,0,0,0,0,0,1,-4.1288427,53.2292005
7,BAT,Univesity of Bath,1,1,1,0,0,0,-2.3322964,51.3799219
8,BTS,Bath Spa University,0,0,0,0,0,1,-2.386322,51.382937
9,BED,University of Bedfordshire,0,0,0,0,0,1,-0.4115372,51.8781407
10,BIR,University of Birmingham,0,1,0,1,0,0,-1.9317168,52.4511304
11,BBK,Birkbeck University of London,0,0,0,0,0,1,-0.1303384,51.5218349
12,BCU,Birmingham City University,0,1,0,1,0,0,-1.8890631,52.4822284
13,BOL,University of Bolton,0,0,0,0,0,1,-2.4362463,53.572978
14,BU,Bournemouth University,1,1,1,0,0,0,-1.8970072,50.743488
15,BRA,University of Bradford,0,0,0,0,0,1,-1.7658847,53.7914265
16,BRG,University of Brighton,1,1,1,0,0,0,-0.1193193,50.8426452
17,BRI,Univesity of Bristol,1,1,1,0,0,0,-2.6074655,51.4570995
18,BUL,Brunel University London,0,0,0,0,0,1,-0.472545,51.533116
19,CAM,University of Cambridge,0,1,0,1,0,0,0.1164367,52.2049458
20,CCC,Canterbury Christ Church  University,0,0,0,0,0,1,1.0894388,51.2795659
21,CAR,Cardiff University,1,1,1,0,0,0,-3.1797798,51.4889238
22,CMU,Cardiff Metropolitan University,0,0,0,0,0,1,-3.2140591,51.4967028
23,CEL,University of Central Lancashire,0,0,0,0,0,1,-2.7073842,53.7613383
24,CHE,University of Chester,0,1,0,1,0,0,-2.8972882,53.1987272
25,CHI,University of Chichester,0,0,0,0,0,1,-0.7746834,50.8440434
26,CIT,City University of London,1,1,1,0,0,0,-0.1026115,51.5279411
27,COV,Coventry University,1,1,1,0,0,0,-1.5003874,52.4052512
28,CRA,Cranfield University,0,1,0,1,0,0,-1.6371446,51.6055434
